"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Tidjane Salaun,Cha,*,F,20.3,12,14.9,14.7,12.4,15,0.733,19,0.526,30,0.5,0.663,0.683,6.3,3.7,0.8,0.6,0.2,0.6,10,7.2,10.8,7.1,130.4,109.1"
",Tre Mann,Cha,*,G,24.9,18,20.6,24.3,16.3,13,0.923,85,0.424,89,0.303,0.44,0.459,9.2,2.8,2.7,0.6,0.1,1.9,11.9,11.8,14.6,8,93.1,111.5"
",Andrew Wiggins,Mia,*,F,30.8,22,32.9,20.6,11.8,57,0.702,197,0.543,103,0.379,0.552,0.571,16.9,4.9,2.9,1,1.1,1.8,21.8,19.8,24.7,7.6,111.1,109.8"
",Nikola Jovic,Mia,*,F,22.5,18,19.3,20,22.8,39,0.718,58,0.5,60,0.283,0.462,0.507,7.6,3.7,2.8,0.6,0.4,1.9,11.3,10.4,14.2,8.9,96.2,104"
",Bam Adebayo,Mia,*,C-F,28.4,19,30.8,24.1,10.7,88,0.795,180,0.55,94,0.34,0.536,0.582,19.2,8.9,2.5,1,0.9,1.7,28.1,21.7,30.6,9.8,114.2,108.7"
",Norman Powell,Mia,*,G,32.6,20,30.7,27.7,10.2,122,0.861,186,0.548,140,0.436,0.594,0.648,24.6,3.8,2.4,1.2,0.3,1.9,28.4,27,30.7,7.9,120.9,108.5"
",Davion Mitchell,Mia,*,G,27.3,24,30.4,13.1,15.6,37,0.622,123,0.569,61,0.393,0.576,0.587,9.8,2.7,7.8,1.3,0,1.4,12.5,17.6,20.3,7.8,126.9,108.3"
",Jaime Jaquez Jr.,Mia,*,G,24.8,24,29.2,22.2,14.6,86,0.767,257,0.553,36,0.222,0.526,0.565,15.6,5.8,5,0.7,0.3,2.1,21.4,20.6,26.4,10.5,114.6,108.4"
",Kel'el Ware,Mia,*,C,21.6,25,24.1,17,11.7,48,0.833,146,0.582,57,0.421,0.596,0.629,11.3,10.1,0.6,1,1.3,1.1,21.4,11.8,22,6.8,128,103.1"
",Simone Fontecchio,Mia,*,F,30,24,18.6,20.8,10.9,39,0.821,53,0.509,135,0.37,0.543,0.575,9.8,2.9,1.6,0.5,0.2,1,12.8,11.4,14.3,7.7,110.8,107.7"
",Dru Smith,Mia,*,G,28,25,16.8,15.7,16.3,33,0.788,70,0.5,53,0.358,0.516,0.556,6.1,2.6,2.8,1.4,0.3,1,8.7,8.9,11.5,8.4,117.2,105.2"
",Pelle Larsson,Mia,*,G,24.8,24,21.9,16.2,13.5,54,0.778,86,0.535,74,0.338,0.522,0.569,8.7,2.5,3.2,0.5,0.2,1,11.2,11.9,14.4,7.5,116.3,109.4"
",Franz Wagner,Orl,*,F,24.3,24,33.4,25.9,10.1,164,0.823,282,0.535,100,0.36,0.537,0.6,22.7,6.1,3.7,1.2,0.4,1.8,28.8,26.4,32.5,9.6,123.2,108.2"
",Paolo Banchero,Orl,*,F,23.1,15,31.3,26.8,15,126,0.778,153,0.503,57,0.298,0.488,0.571,20.2,7.9,3.8,0.6,0.8,2.5,28.1,24,31.9,10.8,113.5,106.2"
",Wendell Carter Jr.,Orl,*,C-F,26.7,24,29.7,14.9,17.2,79,0.785,114,0.588,68,0.412,0.599,0.646,11.7,7.7,2,0.6,0.7,1.6,19.3,13.7,21.3,7.6,127.8,102"
",Desmond Bane,Orl,*,G,27.5,25,33.2,23.8,11.8,94,0.936,253,0.498,129,0.349,0.507,0.561,19,4.4,4.5,0.8,0.3,2,23.4,23.5,28,8.7,116,107.5"
",Jalen Suggs,Orl,*,G,24.5,20,25.4,25,19.7,59,0.881,104,0.606,120,0.333,0.549,0.596,14.9,3.8,4.7,2,0.6,2.8,18.7,19.6,23.4,10.1,112,100.4"
",Tyus Jones,Orl,*,G,29.6,25,14.1,9.2,11.6,2,1,27,0.444,41,0.268,0.419,0.428,2.4,0.8,2.1,0.6,0.1,0.4,3.2,4.4,5.3,4.5,108.7,112.9"
",Jonathan Isaac,Orl,*,F,28.2,22,10.3,12.5,13.7,22,0.5,26,0.692,24,0.208,0.51,0.519,2.8,3.1,0.1,0.3,0.5,0.4,6,2.9,6,3.7,107.3,105.7"
",Anthony Black,Orl,*,G,21.9,25,28.2,21.2,16.7,91,0.692,176,0.517,89,0.303,0.496,0.534,13,3.9,3.2,1.3,0.6,2.1,16.9,16.3,20.2,7.7,104.4,106.1"
",Goga Bitadze,Orl,*,C-F,26.4,24,16.9,11.8,16.3,38,0.789,75,0.773,7,0.286,0.744,0.77,6.3,5.2,1.4,0.6,1.3,0.7,11.5,7.8,13,8.5,151,99.9"
",Tristan da Silva,Orl,*,F,24.6,25,23.6,17.4,10.7,27,0.815,98,0.531,111,0.378,0.55,0.57,10.1,4,1.2,0.8,0.2,1,14.1,11.3,15.3,6.2,112.1,109.9"
",Brandon Ingram,Tor,*,F,28.3,26,34.1,27.7,15.4,128,0.805,325,0.523,118,0.331,0.516,0.561,21.5,5.8,3.8,0.9,0.5,3.1,27.4,25.3,31.2,9.1,105.1,112.2"
